년,월,일,날짜,발생 해역,적조종,밀도,최저 밀도,최대 밀도,수온,최저 수온,최대 수온,염분,,
2020,10,24,2020-10-24,경남 통영 수우도∼사량도(상도),Cochlodinium polykrikoides,20.0 ~ 40.0,20,40,19.6 ~ 20.3,19.6,20.3,31.8 ~ 32.2,31.8,32.2
2019,9,9,2019-9-9,경남 통영 연안,Cochlodinium polykrikoides,150.0 ~ 4500.0,150,4500,23.0 ~ 24.6,23,24.6,30.0 ~ 32.4,30,32.4
2019,9,10,2019-9-10,경남 통영 연안,Cochlodinium polykrikoides,150.0 ~ 6000.0,150,6000,23.4 ~ 24.5,23.4,24.5,30.2 ~ 31.1,30.2,31.1
2019,9,11,2019-9-11,경남 통영 연안,Cochlodinium polykrikoides,300.0 ~ 3200.0,300,3200,23.8 ~ 25.0,23.8,25,30.5 ~ 31.8,30.5,31.8
2019,9,12,2019-9-12,경남 통영 연안,Cochlodinium polykrikoides,60.0 ~ 3040.0,60,3040,23.1 ~ 25.9,23.1,25.9,30.5 ~ 31.8,30.5,31.8
2019,9,13,2019-9-13,경남 통영 연안,Cochlodinium polykrikoides,50.0 ~ 6400.0,50,6400,23.1 ~ 23.4,23.1,23.4,32.1 ~ 32.2,32.1,32.2
2019,9,14,2019-9-14,경남 통영 연안,Cochlodinium polykrikoides,50.0 ~ 7300.0,50,7300,22.3 ~ 24.7,22.3,24.7,31.3 ~ 33.3,31.3,33.3
2019,9,20,2019-9-20,"경남 통영 오비, 한산해역",Cochlodinium polykrikoides,250.0 ~ 800.0,250,800,22.3 ~ 23.0,22.3,23,31.3 ~ 31.5,31.3,31.5
2019,9,3,2019-9-3,경남 통영 욕지,Cochlodinium polykrikoides,150.0 ~ 800.0,150,800,21.5 ~ 23.2,21.5,23.2,31.3 ~ 31.8,31.3,31.8
2019,9,4,2019-9-4,경남 통영 욕지∼연화,Cochlodinium polykrikoides,20.0 ~ 20.0,20,20,23.7 ~ 23.9,23.7,23.9,31.3 ~ 32.7,31.3,32.7
2019,9,5,2019-9-5,경남 통영 욕지∼연화,Cochlodinium polykrikoides,50.0 ~ 50.0,50,50,22.7 ~ 24.3,22.7,24.3,31.4 ~ 32.7,31.4,32.7
2020,10,23,2020-10-23,경남 통영시 농가도~죽도,Cochlodinium polykrikoides,20.0 ~ 40.0,20,40,20.7 ~ 20.7,20.7,20.7,32.5 ~ 32.5,32.5,32.5
2022,9,23,2022-9-23,경남 통영시 사량도 동남측 해역,Cochlodinium polykrikoides,0.0 ~ 1.0,0,1,23.4 ~ 23.8,23.4,23.8,32.4 ~ 32.4,32.4,32.4
