Date,Temp,Salt,Wind speed,Wind direction,Tidal level
2022-01-01 00:00:00,8.9,33.2,1.2383333333333333,315.6166666666667,26.8
2022-01-01 01:00:00,8.9,33.208333333333336,1.0466666666666666,274.5833333333333,26.933333333333334
2022-01-01 02:00:00,8.895000000000001,33.22,1.0016666666666667,290.03333333333336,51.483333333333334
2022-01-01 03:00:00,8.875,33.225,0.755,221.13333333333333,90.08333333333333
2022-01-01 04:00:00,8.725,33.2,0.5483333333333333,220.36666666666667,136.16666666666666
2022-01-01 05:00:00,8.54,33.24,0.99,164.8,187.33333333333334
2022-01-01 06:00:00,8.41,33.291666666666664,0.6883333333333332,257.1333333333333,229.91666666666666
2022-01-01 07:00:00,8.401666666666667,33.281666666666666,0.7866666666666667,283.6666666666667,256.53333333333336
2022-01-01 08:00:00,8.401666666666667,33.288333333333334,0.7116666666666667,286.8,252.45
2022-01-01 09:00:00,8.476666666666667,33.21666666666667,1.4366666666666668,92.46666666666667,226.91666666666666
2022-01-01 10:00:00,8.58,33.2,1.6700000000000002,105.01666666666667,183.4
2022-01-01 11:00:00,8.641666666666667,33.225,1.0683333333333331,143.81666666666666,126.7
2022-01-01 12:00:00,8.688333333333333,33.20333333333334,0.86,169.18333333333334,78.51666666666667
2022-01-01 13:00:00,8.623333333333333,33.24,1.3066666666666669,86.75,53.38333333333333
2022-01-01 14:00:00,8.608333333333333,33.255,1.1816666666666669,63.88333333333333,54.13333333333333
2022-01-01 15:00:00,8.62,33.24166666666667,0.935,83.68333333333334,77.75
2022-01-01 16:00:00,8.598333333333333,33.276666666666664,1.3150000000000002,223.91666666666666,121.61666666666666
2022-01-01 17:00:00,8.588333333333333,33.28666666666666,1.0533333333333335,238.55,167.96666666666667
2022-01-01 18:00:00,8.6,33.3,0.5433333333333333,223.35,206.15
2022-01-01 19:00:00,8.6,33.27833333333333,0.49,217.03333333333333,223.75
2022-01-01 20:00:00,8.6,33.29333333333333,0.6833333333333333,230.21666666666667,219.93333333333334
2022-01-01 21:00:00,8.6,33.26,0.36833333333333335,220.3,185.93333333333334
2022-01-01 22:00:00,8.6,33.2,0.46166666666666667,226.25,137.3
2022-01-01 23:00:00,8.6,33.21,0.5133333333333333,238.35,85.18333333333334
2022-01-02 00:00:00,8.6,33.205000000000005,0.37,199.01666666666668,37.75
2022-01-02 01:00:00,8.6,33.205000000000005,0.5433333333333333,229.41666666666666,13.233333333333333
2022-01-02 02:00:00,8.6,33.24666666666666,0.515,233.95,17.283333333333335
2022-01-02 03:00:00,8.604999999999999,33.294999999999995,0.6633333333333333,223.81666666666666,50.13333333333333
2022-01-02 04:00:00,8.6,33.25666666666667,0.5983333333333333,265.2,94.16666666666667
2022-01-02 05:00:00,8.54,33.248333333333335,0.48833333333333334,226.55,147.23333333333332
2022-01-02 06:00:00,8.433333333333334,33.26,0.84,280.6333333333333,201.66666666666666
2022-01-02 07:00:00,8.433333333333334,33.26,0.7316666666666667,217.33333333333334,247.63333333333333
2022-01-02 08:00:00,8.4,33.3,0.6983333333333334,215.65,269.95
2022-01-02 09:00:00,8.4,33.3,0.7366666666666667,249.31666666666666,264.26666666666665
2022-01-02 10:00:00,8.45,33.29833333333333,0.7316666666666667,211.7,229.55
2022-01-02 11:00:00,8.486666666666666,33.27333333333333,1.0450000000000002,225.36666666666667,174.81666666666666
2022-01-02 12:00:00,8.5,33.27333333333333,1.2383333333333333,295.1,112.9
2022-01-02 13:00:00,8.5,33.27833333333333,1.6383333333333332,289.9,61.03333333333333
2022-01-02 14:00:00,8.5,33.29833333333333,1.8883333333333332,284.05,39.4
2022-01-02 15:00:00,8.5,33.294999999999995,1.635,288.5,42.13333333333333
2022-01-02 16:00:00,8.475,33.3,1.9383333333333332,281.85,74.36666666666666
2022-01-02 17:00:00,8.496666666666666,33.3,1.9783333333333333,254.46666666666667,124.43333333333334
